user_id,full_name,email,role,village_id,points,reports_submitted,badges,join_date
USR0001,Arjun Wagh,arjun.wagh1@example.com,Citizen,VLG006,18,2,,2025-11-08
USR0002,Aarav Kulkarni,aarav.kulkarni2@example.com,Citizen,VLG029,48,3,,2018-04-19
USR0003,Suresh Thorat,suresh.thorat3@example.com,Forest Officer,VLG026,0,0,,2018-11-14
USR0004,Reyansh Shelke,reyansh.shelke4@example.com,Administrator,VLG007,0,0,Green Guardian,2018-05-12
USR0005,Vihaan Ghadge,vihaan.ghadge5@example.com,Citizen,VLG021,68,4,,2016-12-18
USR0006,Krishna Shinde,krishna.shinde6@example.com,Citizen,VLG054,49,7,Species Spotter;Top Contributor,2019-02-27
USR0007,Aarav Patil,aarav.patil7@example.com,Citizen,VLG050,9,1,Community Champion,2022-11-27
USR0008,Vikas Kulkarni,vikas.kulkarni8@example.com,Administrator,VLG070,144,8,Species Spotter;Newcomer,2017-11-26
USR0009,Sunita More,sunita.more9@example.com,Forest Officer,VLG064,55,5,Bird Buff,2022-06-25
USR0010,Kavita Kale,kavita.kale10@example.com,Citizen,VLG037,0,0,Bird Buff,2017-11-05
USR0011,Sunita Kulkarni,sunita.kulkarni11@example.com,Forest Officer,VLG013,21,3,Newcomer,2020-01-23
USR0012,Aadhya Bhosale,aadhya.bhosale12@example.com,Administrator,VLG049,8,1,,2017-06-06
USR0013,Manisha Sable,manisha.sable13@example.com,Administrator,VLG071,0,0,Newcomer,2020-09-10
USR0014,Diya Rathod,diya.rathod14@example.com,Citizen,VLG089,96,6,Newcomer,2022-01-10
USR0015,Suresh Rathod,suresh.rathod15@example.com,Forest Officer,VLG094,247,13,Newcomer;Species Spotter,2019-06-09
USR0016,Mahesh Kale,mahesh.kale16@example.com,Administrator,VLG092,15,1,Top Contributor,2025-08-06
USR0017,Mahesh Jadhav,mahesh.jadhav17@example.com,Researcher,VLG016,0,0,,2022-10-03
USR0018,Pooja Jadhav,pooja.jadhav18@example.com,Forest Officer,VLG044,54,3,Verified Observer,2021-05-22
USR0019,Ganesh Salunkhe,ganesh.salunkhe19@example.com,Citizen,VLG058,65,5,Newcomer,2025-03-24
USR0020,Ganesh Gaikwad,ganesh.gaikwad20@example.com,Forest Officer,VLG002,16,1,Newcomer,2024-05-08
USR0021,Myra Wagh,myra.wagh21@example.com,Forest Officer,VLG025,32,4,Top Contributor,2016-06-06
USR0022,Kavya Chavan,kavya.chavan22@example.com,Citizen,VLG007,26,2,Species Spotter,2019-03-29
USR0023,Kavya Shinde,kavya.shinde23@example.com,Researcher,VLG065,0,0,Verified Observer,2025-11-27
USR0024,Rupali Kulkarni,rupali.kulkarni24@example.com,Citizen,VLG035,0,0,,2019-09-25
USR0025,Vikas Shelke,vikas.shelke25@example.com,Administrator,VLG094,0,0,Community Champion,2019-04-06
